Case,Date_Argued,Date_Decided,Lower_Court,Decision,Author,Coalition,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON,Docket
Hamm v. Smith,NA,11/4/2024,CA11,Vacate and Remand,Per Curiam,Per Curiam,1,1,1,1,1,1,1,1,1,23-167
Facebook v. Amalgamated Bank,11/6/2024,11/22/2024,CA9,DIG,Per Curiam,Per Curiam,1,1,1,1,1,1,1,1,1,23-980
Bouarfa v. Mayorkas,10/15/2024,12/10/2024,CA11,Affirm,JACKSON,(9-0),1,1,1,1,1,1,1,1,100,23-583
NVIDIA v. E. Ohman Jor Fonder,NA,12/11/2024,CA9,DIG,Per Curiam,Per Curiam,1,1,1,1,1,1,1,1,1,23-970
Royal Canin v. Wullschleger,10/7/2024,1/15/2025,CA8,Affirm,KAGAN,(9-0),1,1,1,1,100,1,1,1,1,23-677
E.M.D. Sales v. Carrera,11/5/2024,1/15/2025,CA4,Reverse and Remand,KAVANAUGH,(9-0),1,3,1,1,1,2,100,1,1,23-217
Tik Tok v. Garland,1/10/2025,1/17/2025,CADC,Affirm,Per Curiam,(9-0),1,1,1,7,1,5,1,1,1,24-656
Andrew v. White,NA,1/21/2025,CA10,Vacate and Remand,Per Curiam,Per Curiam,1,-1,5,1,1,-2,1,1,1,23-6573
Hungary v. Simon,12/3/2024,2/21/2025,CADC,Vacate and Remand,Sotomayor,(9-0),1,1,1,100,1,1,1,1,1,23-867
"Wisconsin Bell, Inc. v. United States ex rel. Health",11/4/2024,2/21/2025,CA7,Affirm and Remand,Kagan,(9-0),1,4,3,1,100,1,4,1,1,23-1127
Williams v. Reed,10/7/2024,2/21/2025,SCAL,Reverse and Remand,Kavanaugh,(5-4),1,-1,-2,1,1,-2,100,-2,1,23-191
Lackey v. Stinnie,10/8/2024,2/25/2025,CA4,Reverse and Remand,Roberts,(7-2),100,1,1,-2,1,1,1,1,-1,23-621
Glossip v. Oklahoma,10/9/2024,2/25/2025,OCCA,Reverse and Remand,Sotomayor,(6-2),1,-1,-2,100,1,,1,7,1,22-7466
"Waetzig v. Halliburton Energy Services, Inc.",1/14/2025,2/26/2025,CA10,Reverse and Remand,Alito,(9-0),1,1,100,1,1,1,1,1,1,23-971
"Dewberry Group, Inc. v. Dewberry Engineers Inc.",12/11/2024,2/26/2025,CA4,Vacate and Remand,Kagan,(9-0),1,1,1,2,100,1,1,1,1,23-900
City and County of San Francisco v. EPA,10/16/2024,3/4/2024,CA9,Reverse and Remand,Alito,(9-0),1,1,100,8,8,1,1,7,8,23-753
